Title,Price,Rooms,Squared Meters,Description
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
"Apartamento T4 em Avenidas Novas, Lisboa",1.600.000,4,not specified,Lisboa
"Moradia T6 em Misericórdia, Lisboa",2.250.000,6,156,Lisboa
"Apartamento T2 em Benfica, Lisboa",330.000,2,not specified,Lisboa
"Apartamento T2 Duplex em Santo António, Lisboa",690.000,2,10,Lisboa
"Apartamento T1+1 em Santo António, Lisboa",590.000,1,not specified,Lisboa
"Apartamento T3 em São Vicente, Lisboa",530.000,3,not specified,Lisboa
"Apartamento T4 em Olivais, Lisboa",330.000,4,119,Lisboa
"Apartamento T2 em Campo de Ourique, Lisboa",449.900,2,63,Lisboa
"Apartamento T2 em Penha de França, Lisboa",399.900,2,60,Lisboa
"Apartamento T2 em Penha de França, Lisboa",270.000,2,not specified,Lisboa
"Apartamento T2 em Avenidas Novas, Lisboa",310.000,2,not specified,Lisboa
"Apartamento T2+1 em Arroios, Lisboa",275.000,2,not specified,Lisboa
"Apartamento T3 em Arroios, Lisboa",470.000,3,92,Lisboa
